strategy_name,trade_date,portfolio_value,daily_return
top10_momentum_daily,2019-03-13,2.003874,0.007433
top10_momentum_daily,2019-03-14,2.003398,-0.000238
top10_momentum_daily,2019-03-15,2.008108,0.002351
top10_momentum_daily,2019-03-18,2.009194,0.000541
top10_momentum_daily,2019-03-19,2.047321,0.018976
top10_momentum_daily,2019-03-20,2.035488,-0.005780
top10_momentum_daily,2019-03-21,2.081161,0.022438
top10_momentum_daily,2019-03-22,2.034417,-0.022460
top10_momentum_daily,2019-03-25,2.036267,0.000909
top10_momentum_daily,2019-03-26,2.048419,0.005968
top10_momentum_daily,2019-03-27,2.029475,-0.009248
top10_momentum_daily,2019-03-28,2.041806,0.006076
top10_momentum_daily,2019-03-29,2.062128,0.009953
top10_momentum_daily,2019-04-01,2.080358,0.008840
top10_momentum_daily,2019-04-02,2.081701,0.000645
top10_momentum_daily,2019-04-03,2.103168,0.010312
top10_momentum_daily,2019-04-04,2.089221,-0.006631
top10_momentum_daily,2019-04-05,2.091362,0.001025
top10_momentum_daily,2019-04-08,2.088971,-0.001143
top10_momentum_daily,2019-04-09,2.073815,-0.007256
top10_momentum_daily,2019-04-10,2.087419,0.006560
top10_momentum_daily,2019-04-11,2.078860,-0.004100
top10_momentum_daily,2019-04-12,2.087141,0.003984
top10_momentum_daily,2019-04-15,2.081175,-0.002859
top10_momentum_daily,2019-04-16,2.078393,-0.001337
top10_momentum_daily,2019-04-17,2.051431,-0.012972
top10_momentum_daily,2019-04-18,2.061432,0.004875
top10_momentum_daily,2019-04-22,2.065999,0.002215
top10_momentum_daily,2019-04-23,2.068771,0.001342
top10_momentum_daily,2019-04-24,2.077104,0.004028
top10_momentum_daily,2019-04-25,2.082280,0.002492
top10_momentum_daily,2019-04-26,2.094760,0.005994
top10_momentum_daily,2019-04-29,2.091619,-0.001499
top10_momentum_daily,2019-04-30,2.120351,0.013737
top10_momentum_daily,2019-05-01,2.093749,-0.012546
top10_momentum_daily,2019-05-02,2.111820,0.008631
top10_momentum_daily,2019-05-03,2.121231,0.004457
top10_momentum_daily,2019-05-06,2.107188,-0.006620
top10_momentum_daily,2019-05-07,2.061293,-0.021780
top10_momentum_daily,2019-05-08,2.061513,0.000107
top10_momentum_daily,2019-05-09,2.061435,-0.000038
top10_momentum_daily,2019-05-10,2.074287,0.006234
top10_momentum_daily,2019-05-13,2.030863,-0.020934
top10_momentum_daily,2019-05-14,2.058769,0.013741
top10_momentum_daily,2019-05-15,2.069005,0.004972
top10_momentum_daily,2019-05-16,2.088533,0.009439
top10_momentum_daily,2019-05-17,2.077634,-0.005219
top10_momentum_daily,2019-05-20,2.036263,-0.019913
top10_momentum_daily,2019-05-21,2.052328,0.007889
top10_momentum_daily,2019-05-22,2.004420,-0.023344
top10_momentum_daily,2019-05-23,1.970786,-0.016780
top10_momentum_daily,2019-05-24,1.962405,-0.004253
top10_momentum_daily,2019-05-28,1.966148,0.001908
top10_momentum_daily,2019-05-29,1.949926,-0.008251
top10_momentum_daily,2019-05-30,1.960506,0.005426
top10_momentum_daily,2019-05-31,1.934104,-0.013467
top10_momentum_daily,2019-06-03,1.930127,-0.002056
top10_momentum_daily,2019-06-04,1.966557,0.018874
top10_momentum_daily,2019-06-05,1.986986,0.010388
top10_momentum_daily,2019-06-06,2.013420,0.013304
top10_momentum_daily,2019-06-07,2.041535,0.013963
top10_momentum_daily,2019-06-10,2.054289,0.006247
top10_momentum_daily,2019-06-11,2.051468,-0.001373
top10_momentum_daily,2019-06-12,2.050133,-0.000651
top10_momentum_daily,2019-06-13,2.056585,0.003147
top10_momentum_daily,2019-06-14,2.050138,-0.003134
top10_momentum_daily,2019-06-17,2.047189,-0.001439
top10_momentum_daily,2019-06-18,2.075101,0.013634
top10_momentum_daily,2019-06-19,2.085093,0.004815
top10_momentum_daily,2019-06-20,2.100228,0.007259
top10_momentum_daily,2019-06-21,2.088264,-0.005696
top10_momentum_daily,2019-06-24,2.094612,0.003040
top10_momentum_daily,2019-06-25,2.073787,-0.009942
top10_momentum_daily,2019-06-26,2.072305,-0.000715
top10_momentum_daily,2019-06-27,2.076548,0.002047
top10_momentum_daily,2019-06-28,2.075762,-0.000378
top10_momentum_daily,2019-07-01,2.099034,0.011211
top10_momentum_daily,2019-07-02,2.115163,0.007684
top10_momentum_daily,2019-07-03,2.139603,0.011555
top10_momentum_daily,2019-07-05,2.130287,-0.004354
top10_momentum_daily,2019-07-08,2.124483,-0.002724
top10_momentum_daily,2019-07-09,2.132664,0.003851
top10_momentum_daily,2019-07-10,2.148395,0.007376
top10_momentum_daily,2019-07-11,2.139190,-0.004285
top10_momentum_daily,2019-07-12,2.131202,-0.003734
top10_momentum_daily,2019-07-15,2.146846,0.007340
top10_momentum_daily,2019-07-16,2.134007,-0.005980
top10_momentum_daily,2019-07-17,2.136999,0.001402
top10_momentum_daily,2019-07-18,2.158707,0.010158
top10_momentum_daily,2019-07-19,2.142688,-0.007421
top10_momentum_daily,2019-07-22,2.157740,0.007025
top10_momentum_daily,2019-07-23,2.169751,0.005567
top10_momentum_daily,2019-07-24,2.165294,-0.002054
top10_momentum_daily,2019-07-25,2.159567,-0.002645
top10_momentum_daily,2019-07-26,2.165057,0.002542
top10_momentum_daily,2019-07-29,2.169017,0.001829
top10_momentum_daily,2019-07-30,2.172366,0.001544
top10_momentum_daily,2019-07-31,2.115470,-0.026191
top10_momentum_daily,2019-08-01,2.109258,-0.002937
top10_momentum_daily,2019-08-02,2.090192,-0.009039
top10_momentum_daily,2019-08-05,2.022399,-0.032434
top10_momentum_daily,2019-08-06,2.059105,0.018150
top10_momentum_daily,2019-08-07,2.072997,0.006746
top10_momentum_daily,2019-08-08,2.131400,0.028173
top10_momentum_daily,2019-08-09,2.133457,0.000965
top10_momentum_daily,2019-08-12,2.098165,-0.016542
top10_momentum_daily,2019-08-13,2.126711,0.013605
top10_momentum_daily,2019-08-14,2.058318,-0.032159
top10_momentum_daily,2019-08-15,2.045921,-0.006023
top10_momentum_daily,2019-08-16,2.081681,0.017479
top10_momentum_daily,2019-08-19,2.107045,0.012185
top10_momentum_daily,2019-08-20,2.088974,-0.008577
top10_momentum_daily,2019-08-21,2.114108,0.012032
top10_momentum_daily,2019-08-22,2.107022,-0.003352
top10_momentum_daily,2019-08-23,2.035933,-0.033739
top10_momentum_daily,2019-08-26,2.066726,0.015125
top10_momentum_daily,2019-08-27,2.070596,0.001873
top10_momentum_daily,2019-08-28,2.085957,0.007419
top10_momentum_daily,2019-08-29,2.109988,0.011520
top10_momentum_daily,2019-08-30,2.105980,-0.001900
top10_momentum_daily,2019-09-03,2.087717,-0.008672
top10_momentum_daily,2019-09-04,2.107611,0.009529
top10_momentum_daily,2019-09-05,2.131169,0.011178
top10_momentum_daily,2019-09-06,2.137994,0.003203
top10_momentum_daily,2019-09-09,2.100817,-0.017389
top10_momentum_daily,2019-09-10,2.057958,-0.020401
top10_momentum_daily,2019-09-11,2.070941,0.006309
top10_momentum_daily,2019-09-12,2.096642,0.012410
top10_momentum_daily,2019-09-13,2.083377,-0.006326
top10_momentum_daily,2019-09-16,2.061688,-0.010411
top10_momentum_daily,2019-09-17,2.080519,0.009134
top10_momentum_daily,2019-09-18,2.085151,0.002226
top10_momentum_daily,2019-09-19,2.089193,0.001939
top10_momentum_daily,2019-09-20,2.080947,-0.003947
top10_momentum_daily,2019-09-23,2.082360,0.000679
top10_momentum_daily,2019-09-24,2.076785,-0.002677
top10_momentum_daily,2019-09-25,2.077055,0.000130
top10_momentum_daily,2019-09-26,2.077667,0.000295
top10_momentum_daily,2019-09-27,2.068582,-0.004373
top10_momentum_daily,2019-09-30,2.086459,0.008643
top10_momentum_daily,2019-10-01,2.065874,-0.009866
top10_momentum_daily,2019-10-02,2.026243,-0.019184
top10_momentum_daily,2019-10-03,2.051332,0.012382
top10_momentum_daily,2019-10-04,2.083509,0.015686
top10_momentum_daily,2019-10-07,2.070843,-0.006079
top10_momentum_daily,2019-10-08,2.043677,-0.013118
top10_momentum_daily,2019-10-09,2.067622,0.011717
top10_momentum_daily,2019-10-10,2.072313,0.002269
top10_momentum_daily,2019-10-11,2.089372,0.008232
top10_momentum_daily,2019-10-14,2.085859,-0.001681
top10_momentum_daily,2019-10-15,2.091343,0.002629
top10_momentum_daily,2019-10-16,2.086370,-0.002378
top10_momentum_daily,2019-10-17,2.089475,0.001488
top10_momentum_daily,2019-10-18,2.082702,-0.003242
top10_momentum_daily,2019-10-21,2.099736,0.008179
top10_momentum_daily,2019-10-22,2.070069,-0.014129
top10_momentum_daily,2019-10-23,2.052593,-0.008442
top10_momentum_daily,2019-10-24,2.060490,0.003847
top10_momentum_daily,2019-10-25,2.076894,0.007962
top10_momentum_daily,2019-10-28,2.097597,0.009968
top10_momentum_daily,2019-10-29,2.082025,-0.007424
top10_momentum_daily,2019-10-30,2.095765,0.006600
top10_momentum_daily,2019-10-31,2.095355,-0.000196
top10_momentum_daily,2019-11-01,2.107844,0.005960
top10_momentum_daily,2019-11-04,2.109420,0.000747
top10_momentum_daily,2019-11-05,2.101604,-0.003705
top10_momentum_daily,2019-11-06,2.109195,0.003612
top10_momentum_daily,2019-11-07,2.113878,0.002220
top10_momentum_daily,2019-11-08,2.127007,0.006211
top10_momentum_daily,2019-11-11,2.115080,-0.005607
top10_momentum_daily,2019-11-12,2.126471,0.005385
top10_momentum_daily,2019-11-13,2.133691,0.003396
top10_momentum_daily,2019-11-14,2.137325,0.001703
top10_momentum_daily,2019-11-15,2.161079,0.011114
top10_momentum_daily,2019-11-18,2.171156,0.004663
top10_momentum_daily,2019-11-19,2.167863,-0.001516
top10_momentum_daily,2019-11-20,2.153446,-0.006650
top10_momentum_daily,2019-11-21,2.137462,-0.007422
top10_momentum_daily,2019-11-22,2.133878,-0.001677
top10_momentum_daily,2019-11-25,2.160309,0.012386
top10_momentum_daily,2019-11-26,2.157135,-0.001469
top10_momentum_daily,2019-11-27,2.170082,0.006002
top10_momentum_daily,2019-11-29,2.161289,-0.004052
top10_momentum_daily,2019-12-02,2.138080,-0.010739
top10_momentum_daily,2019-12-03,2.122252,-0.007403
top10_momentum_daily,2019-12-04,2.141537,0.009087
top10_momentum_daily,2019-12-05,2.145445,0.001825
top10_momentum_daily,2019-12-06,2.165093,0.009158
top10_momentum_daily,2019-12-09,2.161120,-0.001835
top10_momentum_daily,2019-12-10,2.164778,0.001693
top10_momentum_daily,2019-12-11,2.178370,0.006278
top10_momentum_daily,2019-12-12,2.214431,0.016554
top10_momentum_daily,2019-12-13,2.204101,-0.004665
top10_momentum_daily,2019-12-16,2.227744,0.010727
top10_momentum_daily,2019-12-17,2.234661,0.003105
top10_momentum_daily,2019-12-18,2.231599,-0.001370
top10_momentum_daily,2019-12-19,2.253696,0.009902
top10_momentum_daily,2019-12-20,2.274579,0.009266
top10_momentum_daily,2019-12-23,2.280665,0.002676
top10_momentum_daily,2019-12-24,2.287587,0.003035
top10_momentum_daily,2019-12-26,2.299456,0.005188
top10_momentum_daily,2019-12-27,2.296922,-0.001102
top10_momentum_daily,2019-12-30,2.280308,-0.007233
top10_momentum_daily,2019-12-31,2.287786,0.003279
top10_momentum_daily,2020-01-02,2.327889,0.017529
top10_momentum_daily,2020-01-03,2.307107,-0.008927
top10_momentum_daily,2020-01-06,2.312365,0.002279
top10_momentum_daily,2020-01-07,2.314509,0.000927
top10_momentum_daily,2020-01-08,2.329437,0.006450
top10_momentum_daily,2020-01-09,2.362029,0.013991
top10_momentum_daily,2020-01-10,2.360300,-0.000732
top10_momentum_daily,2020-01-13,2.393957,0.014260
top10_momentum_daily,2020-01-14,2.377518,-0.006867
top10_momentum_daily,2020-01-15,2.381278,0.001582
top10_momentum_daily,2020-01-16,2.413065,0.013349
top10_momentum_daily,2020-01-17,2.440948,0.011555
top10_momentum_daily,2020-01-21,2.440059,-0.000364
top10_momentum_daily,2020-01-22,2.441213,0.000473
top10_momentum_daily,2020-01-23,2.444830,0.001482
top10_momentum_daily,2020-01-24,2.417728,-0.011086
top10_momentum_daily,2020-01-27,2.370864,-0.019384
top10_momentum_daily,2020-01-28,2.417942,0.019857
top10_momentum_daily,2020-01-29,2.419079,0.000470
top10_momentum_daily,2020-01-30,2.444131,0.010356
top10_momentum_daily,2020-01-31,2.368647,-0.030884
top10_momentum_daily,2020-02-03,2.438893,0.029657
top10_momentum_daily,2020-02-04,2.521498,0.033870
top10_momentum_daily,2020-02-05,2.498468,-0.009133
top10_momentum_daily,2020-02-06,2.515792,0.006934
top10_momentum_daily,2020-02-07,2.500296,-0.006159
top10_momentum_daily,2020-02-10,2.548404,0.019241
top10_momentum_daily,2020-02-11,2.557969,0.003754
top10_momentum_daily,2020-02-12,2.582618,0.009636
top10_momentum_daily,2020-02-13,2.591329,0.003373
top10_momentum_daily,2020-02-14,2.624743,0.012895
top10_momentum_daily,2020-02-18,2.652148,0.010441
top10_momentum_daily,2020-02-19,2.714108,0.023362
top10_momentum_daily,2020-02-20,2.678292,-0.013196
top10_momentum_daily,2020-02-21,2.619489,-0.021955
top10_momentum_daily,2020-02-24,2.486949,-0.050598
top10_momentum_daily,2020-02-25,2.393689,-0.037500
top10_momentum_daily,2020-02-26,2.387251,-0.002689
top10_momentum_daily,2020-02-27,2.244136,-0.059950
top10_momentum_daily,2020-02-28,2.275487,0.013971
top10_momentum_daily,2020-03-02,2.418228,0.062730
top10_momentum_daily,2020-03-03,2.347785,-0.029130
top10_momentum_daily,2020-03-04,2.457066,0.046546
top10_momentum_daily,2020-03-05,2.376158,-0.032929
top10_momentum_daily,2020-03-06,2.331020,-0.018996
top10_momentum_daily,2020-03-09,2.141560,-0.081278
top10_momentum_daily,2020-03-10,2.282987,0.066039
top10_momentum_daily,2020-03-11,2.193879,-0.039031
top10_momentum_daily,2020-03-12,1.959527,-0.106821
top10_momentum_daily,2020-03-13,2.167534,0.106152
top10_momentum_daily,2020-03-16,1.853283,-0.144981
top10_momentum_daily,2020-03-17,1.953336,0.053987
top10_momentum_daily,2020-03-18,1.831127,-0.062564
top10_momentum_daily,2020-03-19,1.900932,0.038121
top10_momentum_daily,2020-03-20,1.830802,-0.036893
top10_momentum_daily,2020-03-23,1.825143,-0.003091
top10_momentum_daily,2020-03-24,2.002971,0.097432
top10_momentum_daily,2020-03-25,2.014864,0.005938
top10_momentum_daily,2020-03-26,2.113805,0.049106
top10_momentum_daily,2020-03-27,2.031400,-0.038984
top10_momentum_daily,2020-03-30,2.093088,0.030368
top10_momentum_daily,2020-03-31,2.062632,-0.014551
top10_momentum_daily,2020-04-01,1.967264,-0.046236
top10_momentum_daily,2020-04-02,2.006064,0.019722
top10_momentum_daily,2020-04-03,1.975854,-0.015059
top10_momentum_daily,2020-04-06,2.148084,0.087167
top10_momentum_daily,2020-04-07,2.137905,-0.004739
top10_momentum_daily,2020-04-08,2.177914,0.018714
top10_momentum_daily,2020-04-09,2.180899,0.001371
top10_momentum_daily,2020-04-13,2.244646,0.029230
top10_momentum_daily,2020-04-14,2.367284,0.054636
top10_momentum_daily,2020-04-15,2.353637,-0.005765
top10_momentum_daily,2020-04-16,2.424351,0.030044
top10_momentum_daily,2020-04-17,2.430811,0.002664
top10_momentum_daily,2020-04-20,2.396414,-0.014150
top10_momentum_daily,2020-04-21,2.289175,-0.044750
top10_momentum_daily,2020-04-22,2.376477,0.038137
top10_momentum_daily,2020-04-23,2.345558,-0.013011
top10_momentum_daily,2020-04-24,2.388163,0.018165
top10_momentum_daily,2020-04-27,2.422023,0.014178
top10_momentum_daily,2020-04-28,2.373189,-0.020162
top10_momentum_daily,2020-04-29,2.416595,0.018290
top10_momentum_daily,2020-04-30,2.401114,-0.006406
top10_momentum_daily,2020-05-01,2.329993,-0.029620
top10_momentum_daily,2020-05-04,2.385457,0.023804
top10_momentum_daily,2020-05-05,2.407217,0.009122
top10_momentum_daily,2020-05-06,2.419165,0.004964
top10_momentum_daily,2020-05-07,2.427943,0.003628
top10_momentum_daily,2020-05-08,2.464875,0.015211
top10_momentum_daily,2020-05-11,2.500498,0.014452
top10_momentum_daily,2020-05-12,2.452300,-0.019275
top10_momentum_daily,2020-05-13,2.423834,-0.011608
top10_momentum_daily,2020-05-14,2.456389,0.013431
top10_momentum_daily,2020-05-15,2.466417,0.004082
top10_momentum_daily,2020-05-18,2.504325,0.015370
top10_momentum_daily,2020-05-19,2.499503,-0.001925
top10_momentum_daily,2020-05-20,2.542120,0.017050
top10_momentum_daily,2020-05-21,2.515302,-0.010550
top10_momentum_daily,2020-05-22,2.525544,0.004072
top10_momentum_daily,2020-05-26,2.504386,-0.008378
top10_momentum_daily,2020-05-27,2.512946,0.003418
top10_momentum_daily,2020-05-28,2.504242,-0.003464
top10_momentum_daily,2020-05-29,2.554648,0.020128
top10_momentum_daily,2020-06-01,2.574352,0.007713
